"Depth (cm)","Age (14C years BP)","Age (years BP)"
300,5515,6295
305,5632,6425
310,5749,6556
315,5866,6686
320,5983,6816
325,6100,6946
330,6218,7077
335,6335,7208
340,6452,7341
345,6569,7478
350,6686,7620
355,6803,7768
357,6924,7830
360,7044,7924
363,7165,8019
365,7286,8082
367,7407,8145
370,7527,8239
373,7648,8330
375,7692,8389
405,8225,9164
410,8314,9286
415,8402,9410
420,8490,9537
425,8579,9669
430,8670,9808
435,8804,9954
440,8938,10108
445,9071,10269
450,9205,10438
455,9339,10615
460,9473,10798
465,9606,10990
470,9740,11188
475,9912,11393
480,10084,11603
485,10256,11816
490,10428,12030
500,10771,12452
505,10943,12656
510,11115,12852
515,11244,13039
520,11373,13218
525,11502,13391
530,11631,13560
535,11760,13728
540,11889,13895
545,12018,14062
550,12147,14229
