"Code","Name","Group"
"BETULA","Betula","Trees"
"PINUSSY","Pinus sylvestris","Trees"
"ULMUS","Ulmus","Trees"
"QUERCUS","Quercus","Trees"
"ALNUSGL","Alnus glutinosa","Trees"
"CORYLUS.","Corylus-Myrica","Trees"
"SALIX","Salix","Trees"
"JUNIPERU","Juniperus communis","Shrubs"
"CALLUNA","Calluna vulgaris","Shrubs"
"EMPETRUM","Empetrum","Shrubs"
"GRAMINEA","Gramineae","Herbs"
"CYPERACE","Cyperaceae","Herbs"
"SOLIDAGO","Solidago-type","Herbs"
"COMPOSIT","Compositae","Herbs"
"ARTEMISI","Artemisia","Herbs"
"CARYOPHY","Caryophyllaceae","Herbs"
"SAGINA","Sagina","Herbs"
"SILENEC","Silene","Herbs"
"CHENOPOD","Chenopodiaceae","Herbs"
"EPILOBIU","Epilobium-type","Herbs"
"PAPILION","Papilionaceae","Herbs"
"ANTHYLLI","Anthyllis vulneraria","Herbs"
"ASTRAGAL","Astragalus alpinus","Herbs"
"ONONIS.T","Ononis-type","Herbs"
"ROSACEAE","Rosaceae","Herbs"
"RUBIACEA","Rubiaceae","Herbs"
"RANUNCUL","Ranunculaceae","Herbs"
"THALICTR","Thalictrum","Herbs"
"RUMEXAC","Rumex acetosa-type","Herbs"
"OXYRIA.T","Oxyria-type","Herbs"
"PARNASSI","Parnassia palustris","Herbs"
"SAXIFRAG","Saxifraga spp1","Herbs"
"SAXIFRAG.1","Saxifraga spp2","Herbs"
"SEDUM","Sedum","Herbs"
"URTICA","Urtica","Herbs"
"VERONICA","Veronica","Herbs"
